,#Passengers,T,Fitted,Residuals
1949-01-01,112.0,1.0,90.30996168582378,21.69003831417622
1949-02-01,118.0,2.0,92.96714559386976,25.03285440613024
1949-03-01,132.0,3.0,95.62432950191572,36.375670498084276
1949-04-01,129.0,4.0,98.2815134099617,30.718486590038296
1949-05-01,121.0,5.0,100.93869731800768,20.061302681992316
1949-06-01,135.0,6.0,103.59588122605365,31.40411877394635
1949-07-01,148.0,7.0,106.25306513409963,41.74693486590037
1949-08-01,148.0,8.0,108.91024904214561,39.08975095785439
1949-09-01,136.0,9.0,111.56743295019159,24.432567049808412
1949-10-01,119.0,10.0,114.22461685823757,4.775383141762433
1949-11-01,104.0,11.0,116.88180076628353,-12.881800766283533
1949-12-01,118.0,12.0,119.53898467432951,-1.5389846743295124
1950-01-01,115.0,13.0,122.19616858237549,-7.196168582375492
1950-02-01,126.0,14.0,124.85335249042146,1.1466475095785427
1950-03-01,141.0,15.0,127.51053639846744,13.489463601532563
1950-04-01,135.0,16.0,130.16772030651342,4.8322796934865835
1950-05-01,125.0,17.0,132.8249042145594,-7.82490421455941
1950-06-01,149.0,18.0,135.48208812260538,13.517911877394624
1950-07-01,170.0,19.0,138.13927203065134,31.86072796934866
1950-08-01,170.0,20.0,140.7964559386973,29.203544061302694
1950-09-01,158.0,21.0,143.4536398467433,14.5463601532567
1950-10-01,133.0,22.0,146.11082375478927,-13.110823754789266
1950-11-01,114.0,23.0,148.76800766283526,-34.76800766283526
1950-12-01,140.0,24.0,151.42519157088122,-11.425191570881225
1951-01-01,145.0,25.0,154.0823754789272,-9.08237547892719
1951-02-01,150.0,26.0,156.73955938697318,-6.739559386973184
1951-03-01,178.0,27.0,159.39674329501915,18.60325670498085
1951-04-01,163.0,28.0,162.05392720306514,0.9460727969348568
1951-05-01,172.0,29.0,164.7111111111111,7.288888888888891
1951-06-01,178.0,30.0,167.36829501915707,10.631704980842926
1951-07-01,199.0,31.0,170.02547892720304,28.97452107279696
1951-08-01,199.0,32.0,172.68266283524903,26.317337164750967
1951-09-01,184.0,33.0,175.33984674329503,8.660153256704973
1951-10-01,162.0,34.0,177.997030651341,-15.997030651340992
1951-11-01,146.0,35.0,180.65421455938696,-34.65421455938696
1951-12-01,166.0,36.0,183.31139846743292,-17.311398467432923
1952-01-01,171.0,37.0,185.96858237547892,-14.968582375478917
1952-02-01,180.0,38.0,188.62576628352488,-8.625766283524882
1952-03-01,193.0,39.0,191.28295019157088,1.717049808429124
1952-04-01,181.0,40.0,193.94013409961684,-12.940134099616841
1952-05-01,183.0,41.0,196.5973180076628,-13.597318007662807
1952-06-01,218.0,42.0,199.2545019157088,18.7454980842912
1952-07-01,230.0,43.0,201.91168582375477,28.088314176245234
1952-08-01,242.0,44.0,204.56886973180076,37.43113026819924
1952-09-01,209.0,45.0,207.22605363984673,1.7739463601532748
1952-10-01,191.0,46.0,209.8832375478927,-18.88323754789269
1952-11-01,172.0,47.0,212.54042145593866,-40.540421455938656
1952-12-01,194.0,48.0,215.19760536398465,-21.19760536398465
1953-01-01,196.0,49.0,217.85478927203062,-21.854789272030615
1953-02-01,196.0,50.0,220.5119731800766,-24.51197318007661
1953-03-01,236.0,51.0,223.16915708812257,12.830842911877426
1953-04-01,235.0,52.0,225.82634099616857,9.173659003831432
1953-05-01,229.0,53.0,228.48352490421453,0.5164750957854665
1953-06-01,243.0,54.0,231.1407088122605,11.859291187739501
1953-07-01,264.0,55.0,233.7978927203065,30.202107279693507
1953-08-01,272.0,56.0,236.45507662835246,35.54492337164754
1953-09-01,237.0,57.0,239.11226053639842,-2.1122605363984235
1953-10-01,211.0,58.0,241.76944444444442,-30.769444444444417
1953-11-01,180.0,59.0,244.42662835249038,-64.42662835249038
1953-12-01,201.0,60.0,247.08381226053635,-46.08381226053635
1954-01-01,204.0,61.0,249.74099616858234,-45.74099616858234
1954-02-01,188.0,62.0,252.3981800766283,-64.39818007662831
1954-03-01,235.0,63.0,255.0553639846743,-20.0553639846743
1954-04-01,227.0,64.0,257.7125478927203,-30.712547892720295
1954-05-01,234.0,65.0,260.3697318007662,-26.369731800766203
1954-06-01,264.0,66.0,263.0269157088122,0.9730842911877744
1954-07-01,302.0,67.0,265.6840996168582,36.31590038314181
1954-08-01,293.0,68.0,268.34128352490416,24.658716475095844
1954-09-01,259.0,69.0,270.9984674329502,-11.998467432950179
1954-10-01,229.0,70.0,273.6556513409961,-44.65565134099609
1954-11-01,203.0,71.0,276.3128352490421,-73.31283524904211
1954-12-01,229.0,72.0,278.9700191570881,-49.970019157088075
1955-01-01,242.0,73.0,281.62720306513404,-39.62720306513404
1955-02-01,233.0,74.0,284.28438697318006,-51.28438697318006
1955-03-01,267.0,75.0,286.94157088122597,-19.94157088122597
1955-04-01,269.0,76.0,289.598754789272,-20.598754789271993
1955-05-01,270.0,77.0,292.25593869731796,-22.25593869731796
1955-06-01,315.0,78.0,294.9131226053639,20.086877394636076
1955-07-01,364.0,79.0,297.57030651340995,66.42969348659005
1955-08-01,347.0,80.0,300.22749042145585,46.772509578544145
1955-09-01,312.0,81.0,302.8846743295019,9.115325670498123
1955-10-01,274.0,82.0,305.54185823754784,-31.541858237547842
1955-11-01,237.0,83.0,308.1990421455938,-71.19904214559381
1955-12-01,278.0,84.0,310.85622605363983,-32.85622605363983
1956-01-01,284.0,85.0,313.51340996168574,-29.51340996168574
1956-02-01,277.0,86.0,316.17059386973176,-39.17059386973176
1956-03-01,317.0,87.0,318.8277777777777,-1.827777777777726
1956-04-01,313.0,88.0,321.4849616858237,-8.484961685823691
1956-05-01,318.0,89.0,324.14214559386966,-6.142145593869657
1956-06-01,374.0,90.0,326.7993295019156,47.20067049808438
1956-07-01,413.0,91.0,329.45651340996164,83.54348659003836
1956-08-01,405.0,92.0,332.11369731800755,72.88630268199245
1956-09-01,355.0,93.0,334.7708812260536,20.229118773946425
1956-10-01,306.0,94.0,337.42806513409954,-31.42806513409954
1956-11-01,271.0,95.0,340.0852490421455,-69.0852490421455
